CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,780,"2,572.70","2,942.25",780,"21,400.00",910,2.50,2.60,"6,110",-0.35,2.50,29.11,"8,280","4,692","10,102",
,-,-,-,-,-,-,780,"2,523.25","2,890.35",780,"21,450.00","1,560",2.20,2.60,975,-0.05,2.60,28.76,60,12,123,
,-,-,10,-,"2,725.00",252.55,325,"2,520.00","2,808.90",130,"21,500.00","2,470",2.55,2.60,260,-0.45,2.55,28.21,"10,634","5,818","19,173",
,-,-,-,-,-,-,780,"2,434.55","2,787.20",780,"21,550.00","1,495",2.35,3.25,"1,300",-0.65,2.35,27.46,4,-,10,
,-,-,-,-,-,-,780,"2,388.35","2,734.75",780,"21,600.00","1,755",2.35,3.30,650,0.70,3.45,28.26,129,60,82,
,-,-,-,-,-,-,780,"2,339.70","2,684.00",780,"21,650.00","1,495",2.40,3.70,650,0.05,2.45,26.63,12,6,15,
,-,-,-,-,-,-,780,"2,296.25","2,631.70",780,"21,700.00",260,2.35,3.60,"1,430",-0.05,3.85,27.64,91,25,329,
,-,-,-,-,-,-,780,"2,250.25","2,579.80",780,"21,750.00","1,560",2.40,4.70,"1,300",0.30,4.00,27.27,16,-6,15,
,-,-,-,-,-,-,780,"2,204.50","2,527.95",780,"21,800.00","1,495",3.15,3.75,"3,120",-0.10,3.15,25.97,211,-23,"2,260",
,-,-,-,-,-,-,780,"2,158.25","2,476.75",780,"21,850.00","1,625",2.65,4.15,650,-0.65,2.65,24.94,64,-12,32,
,-,-,-,-,-,-,780,"2,112.65","2,423.95","1,690","21,900.00","1,495",2.70,4.30,"1,560",-0.80,2.70,24.51,293,141,309,
,-,-,-,-,-,-,780,"2,100.80","2,347.05",780,"21,950.00",650,2.85,4.30,"1,300",-0.75,2.85,24.18,61,18,51,
,242,222,230,-,"2,227.75",-152.25,130,"2,209.35","2,230.50",65,"22,000.00","5,850",3.50,3.70,650,-0.35,3.50,24.32,"13,600","6,531","16,903",
,-,-,-,-,-,-,780,"1,973.50","2,406.60","1,690","22,050.00","1,755",2.85,4.15,650,-0.40,3.30,23.64,162,47,69,
,-,-,-,-,-,-,780,"1,927.25","2,351.25",780,"22,100.00","3,510",3.20,3.80,650,-0.50,3.25,23.10,"3,352",278,"2,185",
,-,-,-,-,-,-,780,"1,881.45","2,297.95",780,"22,150.00","1,755",3.05,4.10,65,-0.05,4.00,23.23,363,132,355,
