CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,28,-,4,34.02,"1,184.30",-301.55,390,"1,120.80","1,215.10",780,"23,050.00","7,280",1.35,1.60,"2,730",-1.20,1.50,19.76,"85,559","3,129","9,889",
,113,-4,71,34.26,"1,140.00",-139.45,65,"1,071.20","1,119.40",65,"23,100.00","5,395",1.40,1.50,"1,755",-1.60,1.40,18.82,"3,79,282","4,329","33,136",
,76,-4,8,33.85,"1,093.45",-87.75,65,"1,051.20","1,075.05",65,"23,150.00","5,070",1.60,1.70,"1,755",-1.40,1.60,18.36,"2,10,428","4,763","22,703",
,357,-49,140,24.85,"1,015.00",-167.50,130,"1,004.00","1,018.65",65,"23,200.00","4,485",1.75,1.80,"1,560",-1.80,1.75,17.79,"5,85,179","12,920","65,878",
,40,-,4,-,940.00,-310.60,65,952.90,974.95,65,"23,250.00","5,980",1.85,2.00,"1,755",-1.80,1.85,17.12,"2,46,531","5,112","21,908",
,242,-3,143,25.99,925.50,-152.50,130,898.55,919.05,65,"23,300.00","3,900",2.15,2.30,"1,755",-1.90,2.20,16.72,"5,97,249","1,353","53,607",
,91,8,116,23.08,869.15,-160.85,130,851.80,871.70,130,"23,350.00",65,2.50,2.60,"2,015",-2.00,2.35,16.06,"2,99,243","1,484","35,070",
,288,-74,751,22.91,822.40,-144.90,130,804.60,821.45,130,"23,400.00","3,250",3.00,3.10,"2,990",-2.00,3.00,15.80,"5,64,299","2,733","54,788",
,91,14,168,20.10,766.45,-163.65,130,756.40,772.00,65,"23,450.00","2,145",3.70,3.90,"1,170",-2.15,3.65,15.42,"2,46,161","8,319","27,569",
,"6,199","-1,138","8,223",18.57,715.00,-148.10,780,710.30,716.95,260,"23,500.00","2,730",4.65,4.75,"1,300",-2.00,4.65,15.15,"12,39,112","3,555","1,26,491",
,162,11,243,18.77,669.45,-152.25,130,659.00,674.25,130,"23,550.00","3,120",5.95,6.20,"1,495",-1.85,6.00,14.91,"4,32,797","9,252","30,770",
,863,-231,"3,643",17.81,620.10,-147.30,65,616.15,624.45,260,"23,600.00",390,7.80,7.95,"1,755",-1.35,7.90,14.74,"9,50,278","5,183","65,518",
,390,-71,"1,090",17.75,574.85,-151.75,65,562.65,577.45,65,"23,650.00",780,10.20,10.40,260,-0.80,10.40,14.59,"5,71,630","-1,006","21,840",
,"2,673",-115,"15,629",16.40,524.10,-155.55,65,522.00,526.50,520,"23,700.00",130,13.40,13.55,"1,300",-0.40,13.35,14.37,"12,45,311","12,789","74,552",
,801,-126,"4,268",16.03,478.40,-155.35,195,472.90,486.05,130,"23,750.00","3,835",17.30,17.55,"1,560",1.10,17.65,14.29,"8,30,339","4,834","27,594",
,"6,610",52,"56,058",15.40,432.00,-153.05,325,432.00,433.45,260,"23,800.00","1,885",22.60,22.85,390,2.60,22.85,14.15,"17,14,838","-3,597","69,656",
,990,33,"10,716",15.75,392.70,-140.85,260,381.30,396.00,65,"23,850.00",650,29.10,29.50,455,4.80,29.35,14.02,"9,31,936","1,807","26,306",
,"6,466",-327,"75,048",14.94,347.10,-146.45,260,346.45,348.25,845,"23,900.00","1,365",37.50,37.75,455,7.25,37.75,13.95,"18,50,713","4,385","60,702",
,"3,171",726,"59,558",15.03,309.50,-137.90,260,305.25,310.00,"1,560","23,950.00",130,47.50,47.80,715,10.20,47.50,13.81,"12,71,046","-3,543","46,839",
,"33,102","2,174","5,76,521",14.65,270.10,-137.35,65,268.00,270.20,"1,365","24,000.00",585,59.75,60.10,455,14.40,60.10,13.77,"39,97,086","1,523","1,13,896",
,"5,703","1,386","2,11,644",14.63,235.85,-134.50,"1,105",233.70,236.60,"2,340","24,050.00",325,74.80,75.10,520,17.65,74.60,13.67,"17,05,528",-11,"26,460",
,"25,887","1,284","12,02,368",14.39,202.00,-128.35,975,202.00,202.85,65,"24,100.00",195,92.10,92.60,715,23.75,92.10,13.63,"33,79,037","1,667","64,715",
,"27,858","20,826","18,44,154",14.47,173.75,-119.30,65,173.00,173.50,"1,495","24,150.00",260,112.75,113.20,520,29.30,112.75,13.63,"32,96,126","13,833","37,085",
,"1,14,707","74,860","55,18,287",14.39,146.60,-114.15,65,146.65,147.20,520,"24,200.00",130,136.05,136.55,520,36.60,136.00,13.60,"63,30,245","23,847","1,02,652",
,"48,306","36,266","29,44,780",14.34,122.55,-107.30,845,122.60,123.35,650,"24,250.00","1,430",161.70,162.30,520,43.20,162.45,13.61,"22,02,182","8,440","29,834",
,"1,02,338","26,827","32,54,056",14.35,101.70,-99.70,130,101.70,102.10,455,"24,300.00",455,190.55,190.85,130,49.65,190.50,13.48,"19,83,687","-23,421","53,884",
,"40,023","-2,065","16,54,759",14.40,83.90,-92.10,260,83.50,83.90,455,"24,350.00","1,300",222.30,223.20,65,58.15,223.20,13.55,"4,03,597","-23,138","11,869",
,"1,07,567","20,547","27,07,180",14.35,67.65,-84.40,"1,560",67.65,68.05,520,"24,400.00",65,256.40,258.05,260,67.90,258.55,13.63,"5,45,926","-25,249","23,307",
,"40,988","8,183","11,65,065",14.45,55.00,-75.80,780,54.80,55.20,260,"24,450.00",65,291.90,295.70,520,75.65,294.35,13.48,"90,843","-4,513","5,533",
,"1,54,271","26,397","28,82,073",14.53,44.25,-67.10,520,44.00,44.35,520,"24,500.00",65,331.60,333.55,130,86.05,333.75,13.48,"2,71,114","-7,750","19,720",
,"35,087","10,851","9,12,730",14.85,36.90,-57.25,520,35.20,35.70,520,"24,550.00",65,371.45,381.05,"1,040",93.35,373.60,13.24,"21,432",-632,"3,183",
,"86,605","17,621","15,14,739",14.76,28.30,-50.55,"1,105",28.00,28.30,"1,560","24,600.00",975,416.00,418.00,325,99.50,415.75,13.02,"48,153","-1,395","4,712",
,"29,185","8,511","7,27,145",14.86,22.30,-43.85,520,22.20,22.35,325,"24,650.00",260,460.40,468.10,520,105.65,458.65,12.52,"6,769",-101,"1,289",
,"77,823","11,720","12,11,620",15.00,17.65,-37.15,520,17.70,17.85,780,"24,700.00",325,505.15,508.90,260,119.70,505.50,12.64,"16,884","-1,758","4,154",
,"31,406","10,366","6,31,455",15.28,14.40,-30.80,520,14.20,14.40,975,"24,750.00",520,546.50,560.25,520,120.60,550.85,11.75,"1,914",-5,"1,134",
,"86,211",-538,"11,40,054",15.51,11.60,-25.40,390,11.50,11.60,910,"24,800.00","1,105",598.70,603.05,260,129.75,599.00,11.48,"7,114",-371,"3,379",
,"36,625","16,434","4,31,873",15.76,9.40,-20.75,"1,235",9.35,9.50,"1,040","24,850.00",65,640.50,666.95,65,128.90,645.70,-,327,-68,458,
,"82,901","22,867","6,87,749",16.07,7.75,-16.95,65,7.70,7.85,975,"24,900.00",260,694.85,701.95,65,136.55,694.55,-,"2,196",-140,902,
,"31,883","13,138","3,50,617",16.44,6.55,-13.80,"1,235",6.45,6.60,455,"24,950.00",65,738.30,751.65,130,127.30,743.20,-,146,6,178,
,"1,41,000","12,357","10,02,214",16.94,5.80,-10.65,"2,405",5.65,5.70,130,"25,000.00",65,790.75,795.50,260,145.10,797.35,12.87,"4,615",-466,"8,376",
